Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings
806,Devonport Wharf To Stanley Pt Loop,Connector,07 - 17,06 - 15,North,Dec 2025,13.9
807,Devonport Wharf To Cheltenham Loop,Connector,07 - 17,06 - 15,North,Dec 2025,19.7
814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Dec 2025,30.2
82,Milford To Mayoral Dr Via Takapuna,Frequent,27 - 37,24 - 33,North,Dec 2025,21.6
83,Massey University To Takapuna Via Browns Bay,Frequent,17 - 27,15 - 24,North,Dec 2025,27.0
842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,27 - 37,24 - 33,North,Dec 2025,36.5
843,Constellation Station To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Dec 2025,16.5
845,Milford To Takapuna Via North Shore Hospital,Local,07 - 17,06 - 15,North,Dec 2025,15.8
856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,17 - 27,15 - 24,North,Dec 2025,18.0
861,Long Bay To Constellation Station Via Bush Rd,Connector,17 - 27,15 - 24,North,Dec 2025,19.9
865,Browns Bay To Albany Station Via Oaktree Ave,Connector,17 - 27,15 - 24,North,Dec 2025,19.4
866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Dec 2025,28.4
871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,17 - 27,15 - 24,North,Dec 2025,20.6
878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,17 - 27,15 - 24,North,Dec 2025,18.2
883,Schnapper Rock To Constellation Station,Connector,07 - 17,06 - 15,North,Dec 2025,14.6
884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,07 - 17,06 - 15,North,Dec 2025,15.4
885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,07 - 17,06 - 15,North,Dec 2025,14.3
888,Albany Heights Loop,Connector,07 - 17,06 - 15,North,Dec 2025,17.6
889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,07 - 17,06 - 15,North,Dec 2025,19.3
901,Smales Farm To Constellation Station Via Wairau Rd,Connector,07 - 17,06 - 15,North,Dec 2025,20.8
902,Kyle Road To Constellation Station,Connector,07 - 17,06 - 15,North,Dec 2025,10.5
906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,07 - 17,06 - 15,North,Dec 2025,18.3
907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,07 - 17,06 - 15,North,Dec 2025,12.4
917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,17 - 27,15 - 24,North,Dec 2025,18.7
923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,17 - 27,15 - 24,North,Dec 2025,13.1
924,Hillcrest To City (Mayoral Dr),Peak,17 - 27,15 - 24,North,Dec 2025,21.2
926,Glenfield To Akoranga Station Via Hillcrest West,Connector,07 - 17,06 - 15,North,Dec 2025,21.9
928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,07 - 17,06 - 15,North,Dec 2025,8.7
931,Chatswood To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Dec 2025,17.6
933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Dec 2025,19.4
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,Dec 2025,24.4
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,Dec 2025,24.0
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,Dec 2025,24.6
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Dec 2025,27.9
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,Dec 2025,27.4
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Dec 2025,15.9
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Dec 2025,26.6
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Dec 2025,25.4
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Dec 2025,16.5
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Dec 2025,17.9
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,Dec 2025,11.8
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,Dec 2025,10.2
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,Dec 2025,19.1
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,Dec 2025,8.8
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,Dec 2025,7.3
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,Dec 2025,13.0
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,Dec 2025,9.4
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,Dec 2025,11.6
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,Dec 2025,8.1
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,Dec 2025,6.1
999,Warkworth Loop,Local,,,North,Dec 2025,4.4
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,Dec 2025,16.0
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,Dec 2025,29.7
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,Dec 2025,23.5
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,Dec 2025,
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,Dec 2025,70.4
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,Dec 2025,37.0
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,Dec 2025,18.6
QODTAK,AT Local,On Demand,,,South,Dec 2025,2.4
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,Dec 2025,27.2
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,Dec 2025,23.6
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,Jan 2026,20.3
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,Jan 2026,21.3
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,Jan 2026,11.6
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,Jan 2026,11.8
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,Jan 2026,11.9
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,Jan 2026,5.8
116,West Hills Loop,Local,07 - 17,06 - 15,West,Jan 2026,2.5
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,Jan 2026,21.6
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,Jan 2026,18.9
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,Jan 2026,17.1
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Jan 2026,5.4
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Jan 2026,5.1
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Jan 2026,7.8
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,Jan 2026,11.5
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,Jan 2026,4.1
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,Jan 2026,16.7
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,Jan 2026,11.5
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,Jan 2026,25.3
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,Jan 2026,13.3
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,Jan 2026,13.3
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,Jan 2026,10.0
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,Jan 2026,5.3
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,Jan 2026,13.2
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,Jan 2026,16.6
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,Jan 2026,20.5
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,Jan 2026,17.3
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,Jan 2026,13.4
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,Jan 2026,10.8
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,Jan 2026,12.7
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,Jan 2026,16.1
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,38.7
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,Jan 2026,31.1
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,Jan 2026,9.9
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,Jan 2026,23.6
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,Jan 2026,19.8
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,Jan 2026,37.7
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,27.8
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,22.0
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,Jan 2026,20.4
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,22.5
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Jan 2026,47.3
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Jan 2026,42.0
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,26.1
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,24.6
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,28.6
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,Jan 2026,42.6
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,31.7
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,Jan 2026,13.5
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Jan 2026,12.8
30,Onehunga To City Centre Via Manukau Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,37.6
309,Mangere Town Centre To City Centre,Connector,17 - 27,15 - 24,South,Jan 2026,13.2
309X,Mangere Town Centre To City Centre (Express),Peak,27 - 37,24 - 33,South,Jan 2026,15.8
31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,17 - 27,15 - 24,South,Jan 2026,11.7
311,Otahuhu Station to Otahuhu Station via Mangere Bridge,Connector,17 - 27,15 - 24,South,Jan 2026,2.6
313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,17 - 27,15 - 24,South,Jan 2026,9.2
314,Ormiston To Middlemore Station Via Otara,Connector,17 - 27,15 - 24,South,Jan 2026,16.0
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Jan 2026,15.0
321,Middlemore Station To Britomart Via Greenlane Hospital,Local,17 - 27,15 - 24,Central,Jan 2026,13.0
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Jan 2026,14.9
324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,07 - 17,06 - 15,South,Jan 2026,10.0
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,Jan 2026,10.1
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,Jan 2026,3.1
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,Jan 2026,24.0
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,Jan 2026,17.5
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,Jan 2026,7.2
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,Jan 2026,8.1
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,Jan 2026,9.2
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,Jan 2026,13.2
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Jan 2026,12.0
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,Jan 2026,10.8
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,Jan 2026,18.6
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,Jan 2026,9.9
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,Jan 2026,12.8
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,Jan 2026,9.0
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,Jan 2026,14.1
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,Jan 2026,9.2
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,Jan 2026,7.3
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,Jan 2026,2.1
378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,07 - 17,06 - 15,South,Jan 2026,4.0
38,Airport To Onehunga Via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Jan 2026,9.2
391,Pukekohe Northeast Loop,Connector,07 - 17,06 - 15,South,Jan 2026,4.7
392,Pukekohe Northwest Loop,Connector,07 - 17,06 - 15,South,Jan 2026,7.9
393,Pukekohe South Loop,Connector,07 - 17,06 - 15,South,Jan 2026,3.6
394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,07 - 17,06 - 15,South,Jan 2026,2.5
395,Waiuku To Papakura Interchange,Peak,07 - 17,06 - 15,South,Jan 2026,2.9
396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,07 - 17,06 - 15,South,Jan 2026,5.9
399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,,,South,Jan 2026,3.5
501,Kennedy Point to Matiatia Wharf,Local,07 - 17,06 - 15,Waiheke Island,Jan 2026,26.3
502,Rocky Bay to Matiatia Wharf,Connector,07 - 17,06 - 15,Waiheke Island,Jan 2026,25.0
503,Matiatia Wharf To Oneroa,Local,17 - 27,15 - 24,Waiheke Island,Jan 2026,65.0
50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,17 - 27,15 - 24,Waiheke Island,Jan 2026,35.7
50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,07 - 17,06 - 15,Waiheke Island,Jan 2026,37.5
64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,,,Central,Jan 2026,22.9
65,Pt Chevalier To Glen Innes,Frequent,17 - 27,15 - 24,Central,Jan 2026,17.4
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Jan 2026,20.2
67A,New Lynn To Otahuhu Via Onehunga,Frequent,17 - 27,15 - 24,Central,Jan 2026,12.9
67B,New Lynn To Onehunga Only,Frequent,07 - 17,06 - 15,Central,Jan 2026,15.8
68,New Lynn To Onehunga Station,Frequent,17 - 27,15 - 24,Central,Jan 2026,14.7
70,Botany To Britomart Via Panmure,Frequent,37 - 47,33 - 42,East,Jan 2026,48.0
70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,,,East,Jan 2026,2.9
711,Howick To Panmure Via Cascades Road,Local,07 - 17,06 - 15,East,Jan 2026,13.9
712,Bucklands Beach To Panmure,Connector,17 - 27,15 - 24,East,Jan 2026,17.5
72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,27 - 37,24 - 33,East,Jan 2026,22.3
72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,27 - 37,24 - 33,East,Jan 2026,22.1
72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,37 - 47,33 - 42,East,Jan 2026,32.4
733,Botany To The Parade Via Highland Park,Local,07 - 17,06 - 15,East,Jan 2026,18.3
734,Botany To Half Moon Bay Via Highland Park,Local,07 - 17,06 - 15,East,Jan 2026,17.9
735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,07 - 17,06 - 15,East,Jan 2026,14.2
738,Maraetai to Pine Harbour via Beachlands,Local,07 - 17,06 - 15,East,Jan 2026,3.6
739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,07 - 17,06 - 15,East,Jan 2026,11.9
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Jan 2026,19.9
744,Panmure To St Heliers Via Glen Innes,Connector,17 - 27,15 - 24,Central,Jan 2026,16.8
747,Panmure To Glen Innes Via Stonefields,Connector,17 - 27,15 - 24,Central,Jan 2026,13.3
75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,27 - 37,24 - 33,Central,Jan 2026,30.9
751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,17 - 27,15 - 24,Central,Jan 2026,17.3
755,Benson Rd To Britomart Via Portland Rd,Connector,17 - 27,15 - 24,Central,Jan 2026,18.8
76,Glen Innes To Britomart Via Orakei,Frequent,17 - 27,15 - 24,Central,Jan 2026,22.2
774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,27 - 37,24 - 33,Central,Jan 2026,23.3
775,Glendowie To Britomart Via Tamaki Dr,Peak,27 - 37,24 - 33,Central,Jan 2026,21.4
781,Mission Bay To Museum Via Orakei,Connector,17 - 27,15 - 24,Central,Jan 2026,14.7
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Jan 2026,12.5
783,Eastern Bays Circuit Clockwise,Local,07 - 17,06 - 15,Central,Jan 2026,4.8
801,Bayswater Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Jan 2026,15.1
802,Bayswater To City (Mayoral Dr),Peak,27 - 37,24 - 33,North,Jan 2026,27.9
805,Devonport Wharf To Belmont Shops Via Ngataringa Rd,Local,07 - 17,06 - 15,North,Jan 2026,8.4
806,Devonport Wharf To Stanley Pt Loop,Connector,07 - 17,06 - 15,North,Jan 2026,13.7
807,Devonport Wharf To Cheltenham Loop,Connector,07 - 17,06 - 15,North,Jan 2026,20.2
814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Jan 2026,30.6
82,Milford To Mayoral Dr Via Takapuna,Frequent,27 - 37,24 - 33,North,Jan 2026,23.3
83,Massey University To Takapuna Via Browns Bay,Frequent,17 - 27,15 - 24,North,Jan 2026,25.2
842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,27 - 37,24 - 33,North,Jan 2026,37.6
843,Constellation Station To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Jan 2026,18.0
845,Milford To Takapuna Via North Shore Hospital,Local,07 - 17,06 - 15,North,Jan 2026,13.8
856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,17 - 27,15 - 24,North,Jan 2026,17.2
861,Long Bay To Constellation Station Via Bush Rd,Connector,17 - 27,15 - 24,North,Jan 2026,18.6
865,Browns Bay To Albany Station Via Oaktree Ave,Connector,17 - 27,15 - 24,North,Jan 2026,18.2
866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Jan 2026,30.4
871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,17 - 27,15 - 24,North,Jan 2026,22.5
878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,17 - 27,15 - 24,North,Jan 2026,16.5
883,Schnapper Rock To Constellation Station,Connector,07 - 17,06 - 15,North,Jan 2026,13.5
884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,07 - 17,06 - 15,North,Jan 2026,15.1
885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,07 - 17,06 - 15,North,Jan 2026,13.3
888,Albany Heights Loop,Connector,07 - 17,06 - 15,North,Jan 2026,16.7
889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,07 - 17,06 - 15,North,Jan 2026,19.2
901,Smales Farm To Constellation Station Via Wairau Rd,Connector,07 - 17,06 - 15,North,Jan 2026,20.4
902,Kyle Road To Constellation Station,Connector,07 - 17,06 - 15,North,Jan 2026,9.8
906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,07 - 17,06 - 15,North,Jan 2026,17.3
907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,07 - 17,06 - 15,North,Jan 2026,11.6
917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,17 - 27,15 - 24,North,Jan 2026,17.0
923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,17 - 27,15 - 24,North,Jan 2026,13.6
924,Hillcrest To City (Mayoral Dr),Peak,17 - 27,15 - 24,North,Jan 2026,21.0
926,Glenfield To Akoranga Station Via Hillcrest West,Connector,07 - 17,06 - 15,North,Jan 2026,19.8
928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,07 - 17,06 - 15,North,Jan 2026,8.2
931,Chatswood To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Jan 2026,16.6
933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Jan 2026,18.0
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,Jan 2026,23.0
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,Jan 2026,21.5
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,Jan 2026,24.7
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Jan 2026,27.1
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,Jan 2026,25.9
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Jan 2026,15.9
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Jan 2026,24.0
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Jan 2026,22.8
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Jan 2026,16.2
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Jan 2026,15.7
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,Jan 2026,11.2
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,Jan 2026,9.8
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,Jan 2026,17.4
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,Jan 2026,8.1
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,Jan 2026,6.6
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,Jan 2026,12.2
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,Jan 2026,8.1
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,Jan 2026,9.4
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,Jan 2026,4.7
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,Jan 2026,6.0
999,Warkworth Loop,Local,,,North,Jan 2026,4.4
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,Jan 2026,12.6
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,Jan 2026,27.5
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,Jan 2026,24.7
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,Jan 2026,
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,Jan 2026,64.4
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,Jan 2026,38.3
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,Jan 2026,18.9
QODTAK,AT Local,On Demand,,,South,Jan 2026,2.1
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,Jan 2026,28.6
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,Jan 2026,32.1
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,Feb 2026,31.2
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,Feb 2026,31.3
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,Feb 2026,26.1
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,Feb 2026,16.4
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,Feb 2026,17.2
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,Feb 2026,8.8
116,West Hills Loop,Local,07 - 17,06 - 15,West,Feb 2026,3.2
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,Feb 2026,23.9
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,Feb 2026,21.0
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,Feb 2026,27.4
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Feb 2026,6.4
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Feb 2026,6.3
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Feb 2026,10.7
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,Feb 2026,16.1
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,Feb 2026,6.6
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,Feb 2026,25.8
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,Feb 2026,19.4
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,Feb 2026,29.2
