Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,8.3,8.1,9.9,9.2,9.8,11.6,9.4,8.1,9.6
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,4.0,4.7,4.9,5.6,6.7,8.1,4.7,5.3,5.5
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,7.8,8.3,7.9,8.7,7.8,6.1,6.0,9.0,9.1
999,Warkworth Loop,Local,,,North,4.1,4.9,5.1,4.8,5.5,4.4,4.4,5.7,5.1
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,13.3,15.2,15.1,15.1,16.8,16.0,12.6,18.2,17.6
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,30.4,31.9,29.9,30.0,32.1,29.7,27.5,37.3,38.0
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,23.9,26.1,24.6,25.1,26.5,23.5,24.7,29.3,29.2
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,2.4,1.6,2.9,3.1,,,,,
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,77.0,81.4,76.8,78.0,80.1,70.4,64.4,86.6,91.7
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,53.3,66.3,54.8,59.1,48.4,37.0,38.3,51.9,77.5
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,18.2,22.5,19.3,21.4,20.3,18.6,18.9,25.5,30.7
QODTAK,AT Local,On Demand,,,South,2.7,3.4,2.8,3.0,3.0,2.4,2.1,3.1,3.1
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,21.3,23.3,22.5,23.2,28.3,27.2,28.6,30.2,27.6
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,23.7,28.2,26.3,28.8,28.7,23.6,32.1,31.0,36.8
