Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,21.1,23.4,22.4,22.6,24.3,19.3,18.6,23.3,25.3
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,16.4,20.7,18.0,19.9,19.4,13.6,9.9,19.2,21.6
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,16.4,17.7,17.4,17.8,17.3,12.7,12.8,16.9,17.8
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,12.2,14.8,13.9,14.3,13.8,11.3,9.0,14.8,16.0
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,19.0,22.4,20.3,20.3,21.1,17.0,14.1,22.1,22.9
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,10.8,12.4,11.5,12.3,13.1,10.5,9.2,11.7,12.2
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,8.7,9.4,8.5,9.0,9.8,7.6,7.3,10.2,11.5
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,4.2,5.2,4.2,4.4,5.3,3.1,2.1,5.9,6.2
378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,07 - 17,06 - 15,South,6.1,7.6,6.5,6.8,7.5,5.6,4.0,7.2,8.2
38,Airport To Onehunga Via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,8.6,9.6,9.0,9.5,9.9,9.3,9.2,11.1,10.7
391,Pukekohe Northeast Loop,Connector,07 - 17,06 - 15,South,5.7,8.1,6.3,7.1,7.9,5.9,4.7,10.0,10.7
392,Pukekohe Northwest Loop,Connector,07 - 17,06 - 15,South,11.0,14.0,11.5,13.2,13.3,10.0,7.9,14.6,15.0
393,Pukekohe South Loop,Connector,07 - 17,06 - 15,South,4.5,6.6,4.9,6.2,6.7,5.5,3.6,6.7,7.0
394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,07 - 17,06 - 15,South,5.6,7.9,5.9,6.8,8.2,4.5,2.5,7.4,8.3
395,Waiuku To Papakura Interchange,Peak,07 - 17,06 - 15,South,6.7,8.2,6.1,7.1,7.3,3.9,2.9,6.6,6.8
396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,07 - 17,06 - 15,South,8.1,9.6,8.6,9.6,8.7,8.2,5.9,9.8,10.3
399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,,,South,2.8,3.5,2.5,2.7,4.2,4.6,3.5,1.8,3.5
501,Kennedy Point to Matiatia Wharf,Local,07 - 17,06 - 15,Waiheke Island,12.4,13.5,14.1,15.8,19.3,22.3,26.3,22.7,20.2
502,Rocky Bay to Matiatia Wharf,Connector,07 - 17,06 - 15,Waiheke Island,10.7,11.6,13.5,14.8,18.7,23.1,25.0,24.1,18.9
503,Matiatia Wharf To Oneroa,Local,17 - 27,15 - 24,Waiheke Island,,,,42.5,53.3,65.8,65.0,80.6,71.1
